token_ids,price
228,156705.81
229,162021.7
230,168586.95
231,173205.11
232,243420.16
233,170895.22
234,197015.94
235,157902.61
236,139090.66
237,146043.25
238,191977.25
239,136016.47
240,170376.56
241,211854.0
242,190614.06
243,230326.44
244,171741.28
245,180888.83
246,181081.8
247,181185.31
248,206095.03
249,173549.92
250,180306.27
251,143787.48
252,138360.05
253,188606.92
254,202353.77
255,171213.48
256,171645.61
257,163353.84
258,178014.11
259,199407.8
260,155843.05
261,200919.97
262,142633.69
263,158859.1
264,166348.67
265,187820.5
266,195795.39
267,162435.06
268,175876.28
269,206473.86
270,234181.89
271,161844.56
272,162466.97
273,158468.0
274,174589.75
275,156244.47
276,179963.25
277,189385.8
278,217912.06
279,142317.31
280,164346.33
281,150580.86
282,189783.02
283,164410.62
284,172063.86
285,189190.89
286,168262.33
287,281567.97
288,188719.94
289,173560.28
290,153310.97
291,156285.08
292,172298.17
293,160595.88
294,168790.48
295,158959.7
296,153792.27
297,166895.55
298,153038.12
299,161822.36
300,153850.66
301,148117.48
302,180846.73
303,55267.062
304,60414.277
305,59032.895
306,66604.2
307,47114.086
308,33866.21
309,54215.27
310,40432.215
311,42077.59
312,40126.84
313,53300.188
314,50152.38
315,56023.42
316,51575.312
317,34103.695
318,45539.44
319,56282.12
320,39144.984
321,37340.38
322,47162.1
323,30983.945
324,91316.1
325,45248.87
326,39899.61
327,34908.484
328,44670.574
329,41096.906
330,27935.875
331,54852.66
332,33490.973
333,20332.24
334,60719.383
335,109538.17
336,41958.574
337,35265.062
338,49073.81
339,44620.676
340,71232.336
341,38230.883
342,61974.945
343,50862.87
344,36635.215
345,42148.473
346,53409.625
347,46539.168
348,84306.5
349,37346.188
350,49176.9
351,42129.5
352,47136.11
353,51887.65
354,36455.195
355,28608.303
356,35934.68
357,32696.879
358,33939.78
359,43236.92
360,59954.055
361,48092.703
362,40842.523
363,57377.69
364,36511.28
365,54519.445
366,47723.41
367,55076.85
368,31689.773
369,39904.355
370,33835.016
371,38579.098
372,41439.598
373,30799.312
374,26735.797
375,24940.553
376,33583.0
377,40541.543
378,39013.34
379,30036.271
380,29150.451
381,37991.91
382,35814.89
383,38999.71
384,40512.582
385,73649.336
386,29738.545
387,61965.465
388,28638.936
389,37462.125
390,40519.953
391,27763.477
392,51015.54
393,32825.906
394,30837.236
395,25159.668
396,42019.156
397,25808.252
398,26850.34
399,33776.574
400,37578.13
401,29331.592
402,31649.992
403,31818.55
404,32436.234
405,30649.176
406,26499.676
407,34712.305
408,26612.441
409,34977.04
410,35119.473
411,36865.11
412,27215.482
413,24550.885
414,35250.848
415,35383.848
416,42243.438
417,25094.371
418,34923.543
419,61287.05
420,35370.652
421,36040.86
422,29247.26
423,29640.828
424,24666.436
425,36138.78
426,30281.273
427,35942.254
428,31004.617
429,31509.643
430,23714.533
431,25389.54
432,26103.352
433,42704.12
434,24707.184
435,62525.92
436,40963.605
437,32208.139
438,30159.73
439,44029.516
440,34803.504
441,55064.11
442,41772.3
443,23888.494
444,68356.305
445,30513.291
446,35637.383
447,31191.123
448,30394.076
449,33213.582
450,35999.184
451,17116.729
452,46625.56
453,52781.906
454,35503.793
455,30238.172
456,28422.889
457,36672.85
458,32394.215
459,25052.021
460,34644.87
461,28226.717
462,31093.52
463,30297.979
464,42087.117
465,33699.484
466,26508.502
467,27788.27
468,31324.49
469,36772.16
470,28091.805
471,27881.623
472,37994.387
473,72859.23
474,31534.244
475,67086.92
476,59681.887
477,36361.945
478,23927.867
479,38190.832
480,32223.543
481,48836.312
482,31676.459
483,28774.516
484,32504.398
485,28526.62
486,24987.55
487,38347.004
488,30475.604
489,67488.18
490,56768.63
491,26285.025
492,44790.82
493,31586.447
494,30147.758
495,29467.377
496,35567.65
497,32824.555
498,30748.328
499,60997.008
500,23798.715
501,38935.797
502,61686.715
503,36040.33
504,24505.371
505,26310.158
506,30684.541
507,25042.81
508,29712.418
509,29129.592
510,28453.129
511,36007.383
512,28204.947
513,33162.316
514,38798.766
515,31220.947
516,33405.445
517,25612.916
518,26693.084
519,35701.926
520,28180.814
521,41710.86
522,39333.348
523,23559.678
524,25807.9
525,32228.637
526,43411.047
527,62072.12
528,58894.332
529,42345.94
530,44540.535
531,46152.508
532,54811.72
533,37669.543
534,31226.434
535,28488.912
536,55359.414
537,31499.1
538,32147.086
539,32790.8
540,37286.39
541,34085.105
542,27790.178
543,31089.37
