,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
75235,70429,74,1,36,1,26,2,6509,74,0,1,0.6677967848132126,4,2,74,0,31,2,-1.567801242956506,67625.21287679348,1
75237,70431,74,1,74,0,2,1,9992,74,0,1,0.6678662135688413,4,0,74,0,3,1,-0.050646916656546845,2651.738423033644,0
75238,70432,74,7,47,1,12,3,9992,39,1,1,0.6679009279466557,4,1,74,0,36,2,-0.5112116228547487,4251.780938566489,0
75239,70432,74,7,47,1,12,3,9992,39,1,1,0.6679009279466557,4,1,74,0,36,2,-1.6219853260386474,21300.943941323305,0
75242,70435,74,4,42,1,7,1,9284,30,2,0,0.6680050710800988,4,1,74,0,55,1,-1.608439305268112,89918.12508698947,1
75243,70436,74,6,32,2,18,3,9992,4,2,0,0.6680397854579131,4,1,31,3,55,1,-1.5948932844975767,14285.720212012937,0
75244,70436,74,6,32,2,18,3,9992,4,2,0,0.6680397854579131,4,1,31,3,55,1,-1.5948932844975767,12857.148190811642,0
75245,70436,74,6,32,2,18,3,9992,4,2,0,0.6680397854579131,4,1,31,3,55,1,-1.608439305268112,18351.214836935906,0
75250,70441,57,1,3,1,16,1,9992,74,0,0,0.6682133573469848,4,0,74,0,47,1,-1.6219853260386474,24031.83419021091,0
75251,70442,33,4,74,0,10,1,9992,36,2,1,0.6682480717247993,4,0,74,0,51,3,-1.6219853260386474,23485.656140433388,0
75254,70445,74,7,74,0,12,2,9992,74,0,0,0.6683522148582424,4,0,74,0,74,0,-1.6219853260386474,13654.451244438016,0
75256,70447,74,1,32,1,2,1,9992,73,3,1,0.668421643613871,4,0,62,2,36,2,-1.608439305268112,12724.262984007944,0
75257,70448,0,3,74,0,3,4,9992,74,0,0,0.6684563579916853,4,2,74,0,74,0,-1.5542552221859707,18139.35810884136,0
75258,70448,0,3,74,0,3,4,9992,74,0,0,0.6684563579916853,4,2,74,0,74,0,-1.608439305268112,16965.68397867726,0
75261,70451,74,1,74,0,2,4,9992,74,0,1,0.6685605011251284,4,0,74,0,74,0,-0.2809292697556478,4079.857183033327,0
75262,70452,74,6,74,0,18,0,9992,62,1,1,0.6685952155029429,4,0,47,3,36,3,-1.5813472637270414,10826.244970677568,0
75263,70453,74,4,74,0,22,2,9992,74,0,0,0.6686299298807572,4,0,3,1,74,0,-1.2697887860047283,4951.097523515919,0
75264,70454,74,4,74,0,22,3,9992,74,0,1,0.6686646442585715,4,0,74,0,32,1,-0.2267451866735064,3576.249247542384,0
75265,70454,74,4,74,0,22,3,9992,74,0,1,0.6686646442585715,4,0,74,0,32,1,-1.5948932844975767,11714.290573850609,0
75268,70457,74,5,74,0,21,2,9992,74,0,1,0.6687687873920146,4,0,74,0,73,2,-1.5948932844975767,10828.575920705804,0
75269,70458,44,2,3,3,14,1,9992,39,2,1,0.668803501769829,4,1,36,2,29,1,-1.5813472637270414,16698.57836094226,0
75270,70459,57,1,74,0,16,2,9992,51,2,1,0.6688382161476433,4,1,74,0,73,3,-1.5271631806449,12652.764745695316,0
75271,70460,74,4,74,0,10,2,9992,74,0,1,0.6688729305254577,4,0,27,1,29,2,-1.5407092014154353,12130.70585045576,0
75272,70461,54,5,74,0,11,2,9992,74,0,1,0.668907644903272,4,0,55,3,32,2,-1.5542552221859707,12367.744165119107,0
75273,70461,54,5,74,0,11,2,9992,74,0,1,0.668907644903272,4,0,55,3,32,2,-1.5813472637270414,13358.86268875381,0
75274,70462,74,5,36,1,0,0,9992,36,2,0,0.6689423592810864,4,1,74,0,29,1,-1.5948932844975767,14857.149020493454,0
75275,70463,74,6,39,2,24,2,9992,27,3,1,0.6689770736589008,4,0,74,0,51,2,-0.37575141514939525,3715.994693626032,0
