block_timestamp,max_trade_price,min_trade_price,average_trade_price,trade_times
2022-07-22,42517.809385664885,283.45206257109925,6489.809173619132,102
2022-07-23,115234.30453699308,3610.67487549245,9536.148065235471,79
2022-07-24,44700.71313645088,2793.79457102818,9081.137867100979,98
2022-07-25,44584.50488337512,3758.0196010018485,5677.683432210612,88
2022-07-26,40608.09175092895,14.306765421145787,5488.620939798627,92
2022-07-27,38927.315457193145,3183.646617316912,7062.379296105186,88
2022-07-28,45797.043450137724,3434.778258760329,7569.686375065674,92
2022-07-29,44866.221804142704,3606.553983486856,6077.550877779089,84
2022-07-30,42942.72162815703,12.072251060124467,6832.547170467204,73
2022-07-31,31705.79114858414,3679.5003210957193,6125.530073101664,41
2022-08-01,50443.36688180134,3362.891125453423,8680.867654659754,65
2022-08-02,37532.20135403039,3198.3962892999807,5866.875551306258,66
2022-08-03,34480.71181055627,3379.5015837050887,6991.096571697453,76
2022-08-04,27009.735443269732,3317.552885482501,4955.334588333607,55
2022-08-05,34094.148152110814,3247.061730303369,4997.345678004714,85
2022-08-06,29435.970534100754,3484.151662394151,5402.215896306608,69
2022-08-07,32143.781067151085,84.58889754513444,5194.386466424422,75
2022-08-08,20399.285915166638,3229.8869365680507,4164.111455108765,105
2022-08-09,29028.296319747777,3553.035045256766,5786.931596000274,58
2022-08-10,29798.845040737993,3252.331087303404,4863.378353035445,95
2022-08-11,37035.413539663416,3333.0019488671583,7287.936272103945,119
2022-08-12,29457.000381072794,3576.2492475423837,6446.951854550517,84
2022-08-13,37170.5636529022,3227.970001436244,5738.6891824030245,139
2022-08-14,35690.26830927168,3.965585367696854e-15,8131.39906444726,101
2022-08-15,354060.1614991207,1.934754980869512e-15,8909.165144470619,113
2022-08-16,35925.48966972721,3272.872999572606,5378.868479888427,96
2022-08-17,33779.816699970375,3171.5494568305517,8394.504271783522,89
2022-08-18,29162.439311490998,3026.290871947179,6357.429191147381,79
2022-08-19,118202.10907731668,2772.3935302493765,8305.886411580383,137
2022-08-20,28889.56796949904,2372.65664089165,5713.5604633880685,103
2022-08-21,27591.3788519342,2317.675823562473,4687.740817136311,100
2022-08-22,25901.96331777963,2476.875242262677,6168.161223415453,84
2022-08-23,24176.58459670639,2161.776084442411,4625.179063202179,101
2022-08-24,24411.59191421368,2411.2674462202904,5060.364528266309,64
2022-08-25,48891.427174682794,2618.591692745723,6775.675485625738,130
2022-08-26,26094.013346915744,2828.8029529430396,5937.2085933169155,55
2022-08-27,81460.09042171807,2308.111170439642,5096.6333050330295,69
2022-08-28,147456.5971281802,1787.3526924627904,7627.207552921727,65
2022-08-29,21484.843562213602,259.2504456507108,3712.5520855130026,76
2022-08-30,27852.151931171647,2539.961521945459,4325.595721566066,92
2022-08-31,76281.39002197844,1067.939460307698,5729.143870071756,52
2022-09-01,26413.858649713184,2563.698045413338,5052.652828411346,50
2022-09-02,38164.07320879694,307.60855052169205,6300.077252905403,99
2022-09-03,31544.27457580169,2760.124025382648,7533.8209200015035,51
2022-09-04,77800.227958879,2645.207750601886,7346.602231830975,60
2022-09-05,31655.66174818508,2532.4529398548066,5297.751561805413,90
2022-09-06,26684.463875438556,2733.135996938858,5494.470480930529,49
2022-09-07,171607.96701550597,2652.1231266032737,8240.701640948559,73
2022-09-08,455201.1917054355,652.618195993456,32732.381235912442,74
2022-09-09,25659.828427561573,2681.407110802404,5242.291912144465,61
2022-09-10,26009.887854169017,2750.3524978467835,5879.0435065052,51
2022-09-11,30012.748998005456,355.18046151485754,5012.827357588126,72
2022-09-12,24056.415844672258,2714.057172219434,4076.942183152166,66
2022-09-13,29051.665330737003,0.01713962556385664,4308.2934100460425,50
2022-09-14,24412.79398987188,2450.5397935798933,5303.158622102192,126
2022-09-15,20923.185695091575,2689.2832113722393,4984.508312117082,55
2022-09-16,33854.3524008603,2355.0853844076732,5713.518276688955,62
2022-09-17,28664.34466137209,2321.8119175711395,6637.898473351194,51
2022-09-18,23772.83507108464,2465.3310444087774,4700.038830795104,63
2022-09-19,26665.356448633713,2163.138580209645,3942.712352050144,62
2022-09-20,24628.257116887005,2245.193461998088,4525.973595158666,66
2022-09-21,21171.735997937856,2190.6130590366324,4816.506455828428,63
2022-09-22,23481.39121326855,1998.4162734696638,4353.327549932855,71
2022-09-23,30591.492769290984,2158.695337589533,6019.835619629112,77
2022-09-24,58037.48418914905,2125.4285809713547,6151.126149949608,41
2022-09-25,22984.170263142943,2174.5344572354275,6360.579966377031,45
2022-09-26,25879.450161896988,2070.356012951759,4243.6780721334,57
2022-09-27,267083.36197880865,2176.7294001272903,10635.113690994413,51
2022-09-28,17945.36191223933,2126.857708117254,3910.479901962557,43
2022-09-29,17389.701392578205,2140.27094062501,3571.5339619302626,55
2022-09-30,22273.994457761848,2135.3140283055095,3768.3987154293072,62
2022-10-01,20919.051100280944,2125.109953044413,4509.552234973032,57
2022-10-02,19678.32004646431,2099.020804956193,3604.6684555777006,47
2022-10-03,21158.445847693874,2131.1582970837617,3702.5116339332903,69
2022-10-04,33081.95740947356,2005.9013301532427,3805.5698497337708,59
2022-10-05,18153.46018346773,2298.901494040272,3149.6784438176655,67
2022-10-06,25632.500487438858,2164.2216770396926,4715.118029614807,42
2022-10-07,27720.469813738764,2217.637585099101,4081.5196386573625,55
2022-10-08,53155.314872026414,2251.4406549805676,5900.896114970379,64
2022-10-09,24315.85285585913,2299.6859209666313,5628.279180758909,66
2022-10-10,23739.464099986606,2182.1791512522504,3884.316684024651,58
2022-10-11,19348.253830344158,2179.903264885442,3932.881614109955,93
2022-10-12,35849.60959649315,2144.574859790215,4723.934621617525,83
2022-10-13,21301.17907816978,2174.6331665051393,4526.317170301902,77
2022-10-14,22523.198042861688,2060.4412160422357,3869.4855563287906,85
2022-10-15,19459.58901448171,2257.312325679878,3993.704048764579,47
2022-10-16,22314.94535441401,2168.976964122574,3375.735079398819,50
2022-10-17,25987.997817807867,2089.4872617332962,6358.710713263169,53
2022-10-18,24897.90408157079,1998.2266518114598,3557.9203722369475,51
2022-10-19,31478.172030680907,1839.5056780429156,4209.683095703805,95
2022-10-20,20066.151590180376,1752.3616851092825,3734.1174440907057,65
2022-10-21,40151.18009666817,1502.0620519280308,3105.0160469597013,140
2022-10-22,20803.4605235101,1820.3027958071336,4581.173677928617,33
2022-10-23,32870.98049387174,1709.2909856813305,3711.284726587416,74
2022-10-24,23861.106616419354,1758.9044305817695,4081.9010271655106,64
2022-10-25,20654.12224703655,1667.3168064766242,4149.726487331242,66
2022-10-26,22442.421410470222,1.4611331942544221,4080.668100720604,70
2022-10-27,26630.804243772207,1873.4849111388583,4583.767092531497,72
2022-10-28,15896.216270238014,1.513925359070287,2984.9534247366983,52
2022-10-29,15615.314956195178,1864.2833426125321,2897.2177617241655,78
2022-10-30,30596.870283274424,1862.8971212285887,5719.365461028533,56
2022-10-31,18282.54608105727,1926.6623996202873,4006.603525486791,65
2022-11-01,14927.392581971042,1874.5662473991006,2854.960796220975,56
2022-11-02,31095.845081930624,1974.0886923521216,3886.5661682700515,56
2022-11-03,34862.07228308965,1822.8534527105699,3468.332114039047,47
2022-11-04,20417.372980987897,1866.6580734628028,3867.903592954222,75
2022-11-05,23174.629466722985,1990.0617541035972,3625.449592007119,44
